Date,CSUSHPISA,Year,Month,unemp,Interest,CPI,const_price_index,working_pop,Houses,per_capita_GDP,Num_household,Income,Subsidy,Urban_pop,Old_pop
2001-01-01,109.846,2001,1,4.2,5.62,175.6,142.0,180416623.5,175.6,36845.0,108209,66360.0,20.573,12.2969453233527,12.2969453233527
2001-02-01,110.5,2001,2,4.2,5.26,176.0,142.4,180577730.8,176.0,36967.0,108209,66360.0,20.573,12.2969453233527,12.2969453233527
2001-03-01,111.109,2001,3,4.3,4.89,176.1,142.4,180636104.8,176.1,37089.0,108209,66360.0,20.573,12.2969453233527,12.2969453233527
2001-04-01,111.652,2001,4,4.4,4.53,176.4,142.5,180905518.2,176.4,37211.0,108209,66360.0,20.573,12.2969453233527,12.2969453233527
2001-05-01,112.164,2001,5,4.3,4.02,177.3,144.2,181014608.3,177.3,37177.333333333336,108209,66360.0,20.573,12.2969453233527,12.2969453233527
2001-06-01,112.796,2001,6,4.5,3.74,177.7,144.3,181356522.9,177.7,37143.666666666664,108209,66360.0,20.573,12.2969453233527,12.2969453233527
2001-07-01,113.491,2001,7,4.6,3.66,177.4,143.4,181614328.8,177.4,37110.0,108209,66360.0,20.573,12.2969453233527,12.2969453233527
2001-08-01,114.167,2001,8,4.9,3.48,177.4,143.3,181828452.5,177.4,37151.333333333336,108209,66360.0,20.573,12.2969453233527,12.2969453233527
2001-09-01,114.81200000000001,2001,9,5.0,2.87,178.1,143.0,182056480.6,178.1,37192.666666666664,108209,66360.0,20.573,12.2969453233527,12.2969453233527
2001-10-01,115.31,2001,10,5.3,2.31,177.6,142.3,182236635.5,177.6,37234.0,108209,66360.0,20.573,12.2969453233527,12.2969453233527
2001-11-01,115.85700000000001,2001,11,5.5,2.03,177.5,142.1,182430585.0,177.5,37350.0,108209,66360.0,20.573,12.2969453233527,12.2969453233527
2001-12-01,116.455,2001,12,5.7,1.83,177.4,141.7,182641878.7,177.4,37466.0,108209,66360.0,20.573,12.2969453233527,12.2969453233527
2002-01-01,117.14399999999999,2002,1,5.7,1.74,177.7,142.0,182566431.9,177.7,37582.0,109297,65820.0,24.183,12.2874577893554,12.2874577893554
2002-02-01,117.845,2002,2,5.7,1.82,178.0,142.2,182798390.1,178.0,37674.666666666664,109297,65820.0,24.183,12.2874577893554,12.2874577893554
2002-03-01,118.68700000000001,2002,3,5.7,1.91,178.5,143.2,183078312.4,178.5,37767.333333333336,109297,65820.0,24.183,12.2874577893554,12.2874577893554
2002-04-01,119.611,2002,4,5.9,1.87,179.3,143.5,183260453.0,179.3,37860.0,109297,65820.0,24.183,12.2874577893554,12.2874577893554
2002-05-01,120.72399999999999,2002,5,5.8,1.82,179.5,143.8,183508212.5,179.5,37939.666666666664,109297,65820.0,24.183,12.2874577893554,12.2874577893554
2002-06-01,121.81299999999999,2002,6,5.8,1.81,179.6,144.3,183669058.4,179.6,38019.333333333336,109297,65820.0,24.183,12.2874577893554,12.2874577893554
2002-07-01,122.88799999999999,2002,7,5.8,1.79,180.0,144.7,183886883.5,180.0,38099.0,109297,65820.0,24.183,12.2874577893554,12.2874577893554
2002-08-01,123.83,2002,8,5.7,1.73,180.5,145.1,184159563.8,180.5,38157.333333333336,109297,65820.0,24.183,12.2874577893554,12.2874577893554
2002-09-01,124.78,2002,9,5.7,1.76,180.8,145.4,184422418.0,180.8,38215.666666666664,109297,65820.0,24.183,12.2874577893554,12.2874577893554
